City Name,Year,Building Density,Driving Road Density,Cycling Road Density,Walking Road Density,POI Density,Commercial,Industrial,Construction,Residential,White_Black,White_Asian,White_Hispanic,Black_Asian,Black_Hispanic,Asian_Hispanic,Entropy
Madison city,2017,90.49184662,9.507494661,9.734749117,13.4697519,12.53517044,0.088544628,0.047246363,0.000740651,0.250486181,0.476762885779142,0.4311189241241663,0.4333645822620284,0.5450861939484261,0.4205605041037977,0.4950217517618702,0.8011744991854076
Madison city,2018,97.3789247,9.652712201,9.950470299,14.39204294,13.88887707,0.080040819,0.048007123,0.00568945,0.340032575,0.4823339198110389,0.4159652872835659,0.4339945247206319,0.5681844971497352,0.4560048694932908,0.5092671131911826,0.8112313152896297
Madison city,2019,102.8740559,9.84406284,10.16958722,15.41490979,15.74353163,0.078666015,0.048611722,0.005855103,0.352322754,0.48837894202638,0.4246465219076867,0.4170515896469951,0.5696172017535679,0.4406579545182811,0.5154134106102906,0.8202139298494735
Madison city,2020,205.8896008,10.20358667,10.52031196,16.27226114,18.40888056,0.076937129,0.062023728,0.005674616,0.369508915,0.5504906460284742,0.4547084202698341,0.4637427984402344,0.6262980441175033,0.4994483286983524,0.5615091588921928,0.8180816015340955
Madison city,2021,209.07501781961665,10.986006158663075,11.303358586761115,17.295238887664524,20.26353512503473,0.0770900664665149,0.0616066699845151,0.0008591747005577,0.3802543693890481,0.5637755133748001,0.4406666572140928,0.4669118824957394,0.639304436527711,0.5048916737499282,0.5578263800789106,0.8300884646504733
Madison city,2022,216.2183059142694,11.46625461794742,11.76238750341311,18.06994913129177,22.86387554492973,,,,,,,,,,,
Madison city,2023,227.65215570174888,11.48767301014129,11.808294983914344,18.309822886967027,24.73000219920732,0.0769070092949064,0.062438242814075,0.0012050437035625,0.3804170465018759,,,,,,,
Memphis city,2014,1.311781879,7.331088267,6.93556689,6.98193353,2.610803234,0.001298501,0.03845654,0.0,0.007116181,0.6976654468554033,0.5429128867563324,0.6429964325246196,0.7881628952411422,0.6514509334721776,0.7235366586892611,0.8917355356653666
Memphis city,2015,1.805614162,7.411168212,7.075898202,7.090475824,2.909399498,0.001298501,0.038766689,0.0,0.007116181,0.6886277499198419,0.5306922772358428,0.6566627110202053,0.7862896237529104,0.6600465484758988,0.7341097304617765,0.8971260215405155
Memphis city,2016,1.875797045,7.515882349,7.191230371,7.212814797,2.941300809,0.001298501,0.039462333,0.0,0.007116181,0.6772886683399824,0.5255019719134261,0.6583410796999609,0.7723660082340351,0.6679179330532178,0.7433138024721777,0.885393605119075
Memphis city,2017,2.133559632,7.61450844,7.316874319,7.368682047,3.13270867,0.001298501,0.03947069,0.0,0.007116181,0.6738586713724658,0.5317149892473874,0.6621686760923136,0.7663035855531115,0.6607550529515404,0.7366418829961549,0.8896945001584907
Memphis city,2018,13.32581533,7.874994123,7.625382959,7.791792954,3.650785949,0.003385817,0.047945828,2.66e-05,0.009297247,0.6820887624351997,0.5598254117455085,0.646174704852706,0.7679701769539158,0.654913734252093,0.7642214193897712,0.887659783338625
Memphis city,2019,81.90214798,8.422794491,8.169282434,8.358727727,4.110164818,0.003806148,0.048389868,5.18e-05,0.009493184,0.6784300299321891,0.5555735438198819,0.660224569634252,0.7722865615854412,0.6550218849690284,0.7535413139383448,0.8943360301964136
Memphis city,2020,165.1122497,9.845088889,9.591382873,9.818955336,4.662695512,0.004250629,0.04851309,9.72e-05,0.010274228,0.6755375774669943,0.5658651105571589,0.6420248567217526,0.7906594798935777,0.6483641077826845,0.732238175233861,0.8964476039632411
Memphis city,2021,271.5796826233731,10.866275351770623,10.630101019355251,11.120898849950692,6.100806579126556,0.005029003606414,0.0486972005853486,0.0003162692411323,0.0246614863245913,0.6723575354326192,0.5527780847687888,0.6527105806210807,0.7862797099881582,0.6520250193509355,0.7288633666651471,0.8938457092961933
Memphis city,2022,273.4452712489081,11.601737091474796,11.394466622231102,12.122783744483582,6.653337273282967,,,,,,,,,,,
Memphis city,2023,274.393378190613,11.752629013075955,11.540618009123737,12.352429792761995,6.897063283869282,0.0063917832881642,0.0524012751290356,0.0002322492078026,0.0301067607073805,,,,,,,
Mesa city,2014,8.518571277,10.58284874,10.15473514,10.22205291,2.417656933,0.01995141,0.012385752,0.001324379,0.331217195,0.5102120401568723,0.5159359975808275,0.4201619659641898,0.6027872250702772,0.5376407764436283,0.6334742481342868,0.8114381533916455
Mesa city,2015,10.53467007,10.9886717,10.44384039,10.5642109,3.03245629,0.019765994,0.014760093,0.0,0.377905385,0.5149944906786577,0.5256550160189906,0.4316798989282721,0.5846739174301877,0.5217921440776102,0.6324581673774277,0.8118422363829667
Mesa city,2016,12.29875651,11.9027288,11.39474114,11.56451715,4.048813786,0.018890994,0.015319174,0.009922392,0.35347728,0.5470037551094123,0.5235711399957216,0.4298352304839003,0.6073114880493045,0.535600580180108,0.637222251682996,0.8157739381102941
Mesa city,2017,14.25669861,12.16955449,11.66395125,11.83988357,4.61930328,0.019325782,0.015342172,0.011615345,0.339543171,0.554364337479339,0.5159267943457458,0.4223282441751439,0.6227930685429048,0.5444218800742431,0.6163722003592832,0.8266962320921796
Mesa city,2018,22.50387197,12.94257329,12.56699181,12.76999468,6.136916108,0.016789489,0.018321892,0.00589124,0.347572215,0.5498989934946419,0.5060317184708026,0.4294870600550609,0.6111257786190363,0.5247835219337755,0.5941203519539308,0.8373101562846492
Mesa city,2019,29.8786949,14.02584976,13.63064455,13.92935119,6.604939042,0.017380533,0.020120597,0.001849444,0.36595204,0.5300768632080403,0.4889579246513997,0.4207710729252158,0.6080996360166635,0.5070567709221667,0.5949446962995845,0.8541774848041939
Mesa city,2020,79.42266113,15.08724823,14.70668743,15.39235488,11.49287087,0.017531854,0.021537687,0.016371087,0.371848923,0.5349814294700537,0.5170469971636626,0.4171897088598301,0.6165973768728724,0.5080027500100807,0.5861307083701056,0.8556747857731419
Mesa city,2021,97.1244516389213,16.435577998151913,16.084895890810092,16.923720379838617,19.518494914633667,0.0189944680438798,0.0219779951654718,0.0104361088330531,0.4242105399612211,0.5322987317277613,0.4951597362683998,0.3956511075122038,0.5918922458137513,0.4701417752501272,0.5884983014910594,0.8672278036509697
Mesa city,2022,257.4735398983146,16.977014068280333,16.64046126869312,17.599105167621836,27.37518760373919,,,,,,,,,,,
Mesa city,2023,423.0678082610444,17.257525967882795,17.024312078304032,18.12738120826184,32.127420474555215,0.0226338507483662,0.0234228804972816,0.0199137527141207,0.4660244278203355,,,,,,,
Miami city,2014,1.70765196,11.30831916,10.64269984,10.59595287,5.439697775,0.000806374,0.018217988,0.0,0.001557022,0.8005741291877446,0.6021897146589255,0.6014159403801351,0.9122923628677636,0.7917265993355113,0.7544347124700755,0.8288857898130211
Miami city,2015,13.31004532,11.511213,10.845394,10.81607471,7.209320975,0.000919444,0.018217988,0.000422111,0.001856424,0.7945730235389075,0.6101407367201598,0.606923362339071,0.912550206871677,0.8008616002027029,0.7577484608822099,0.8319662472585359
Miami city,2016,14.5770129,11.73907437,11.16971704,11.13221755,7.877233234,0.000919444,0.018028253,0.000461212,0.001722826,0.8042601830360011,0.611255815155702,0.6041645328578412,0.9240660104066128,0.7997928379113789,0.766166038687641,0.8231181636162742
Miami city,2017,166.6200086,11.92062945,11.3896392,11.37089634,8.978944176,0.001295248,0.018003798,0.000383641,0.002423031,0.8008349042088888,0.5688396196536255,0.6093475664607222,0.8858329287761867,0.794122574961103,0.749763913558377,0.8068057930906931
Miami city,2018,169.0231155,12.13498108,11.60465875,11.64998038,10.69348183,0.001186989,0.018185352,0.000251067,0.002830202,0.7910474382221735,0.6037475892062614,0.6008349099391406,0.8923844541288785,0.7874079780870037,0.7571900660339017,0.8056040771674351
Miami city,2019,497.6497181,13.65606518,13.23353838,13.35998725,12.35981963,0.001186989,0.014709075,0.000971974,0.004800764,0.7986594438041033,0.5739127189095413,0.5762333689314207,0.8768779782573576,0.765757320482234,0.7693275841569167,0.8051872720156267
Miami city,2020,497.271005,14.14309716,13.70689537,13.9443485,13.94352911,0.001268993,0.014709075,0.000528044,0.005328266,0.7984416136162299,0.6336270532096527,0.5771607775199585,0.8644660555604823,0.7746776587592249,0.797286537593099,0.8145610906830473
Miami city,2021,496.6788352155011,14.989817099223927,14.646338056121634,15.472497319788609,17.097176673876913,0.0009725515494435,0.0147775623084691,0.0008565206508366,0.0074338519680088,0.7980372370309089,0.6461384994946482,0.5646459635488222,0.8751835337796168,0.7620738523528162,0.7717256655659656,0.8149721079307872
Miami city,2022,493.13270312244975,15.218539176379052,14.826529766302336,16.246339085119654,18.89434264724859,,,,,,,,,,,
Miami city,2023,492.7815327598369,15.358497780113735,15.030243005084715,17.18171921725261,20.56756613969808,0.0025574218724597,0.0222023079895012,0.0016045536564343,0.016308187547889,,,,,,,
Milwaukee city,2014,8.77367643,14.22266389,13.59677374,13.95887932,6.735790677,0.003694268,0.01053964,1.25e-05,0.062795128,0.7366587536370783,0.6409951544689687,0.619481912975215,0.7100474849620282,0.8038153007040069,0.7342344423072815,1.169460944207969
